0,这把打的好看啊好激烈，而且体现了长城的效果
1,纯扯淡
0,投币的概率是1000%！
0,感恩
0,@森中人 靡道人配音老师在此，大家赶紧去为他喝彩！[打call][打call][打call]
5,好好的猪为什么不做成腊肉
4,感人，这段时间正巧是我人生中的一个低谷时期，也关注影视飓风很久了，其实除了器材评测，我最喜欢这个频道的一部分就是tim早期的vlog，即使到了今年我也经常会翻以前的视频，哎看到这期视频真的泪目，一种久违的感觉，希望自己也可以像这个频道一样无限进步，假如有机会我也想加入来实习甚至入职，希望大家一切顺利！[tv_腼腆]
1,妈的让客人试毒是吧？
0,芜湖～[星星眼]
2,难吃的一批，现在冷藏科技好少吃点这些吧
2,这里观感真的很奇怪，明明释天武才和刹暗天见过一两面，这里搞的跟搭档了很久了一样，还说出“你叫什么狗屎啦”这种铁哥们才能说出的话[笑哭][笑哭][笑哭][笑哭][笑哭][笑哭][笑哭][笑哭][笑哭][笑哭][笑哭][笑哭][笑哭][笑哭][笑哭][笑哭][笑哭]
1,就是这么打发国人的吗，外面就真唱
4,"我真觉得小马云挺好的。很善良,也很可怜。"
0,比亚迪！中国人的骄傲！我的骄傲！
2,怎么感觉标题看过
0,配的完美
2,四川表示 根本不吃
4,很羡慕，可惜我家永远也凑不齐了
5,是谁？天黑还上班？不去[脱单doge]正常人正常公司谁还晚上上班？
0,任何词藻都不足以形容，无需多言，华丽，优雅，绝美[点赞]
0,精彩啊！[大笑]
4,缅怀
0,袁爷爷生日快乐[给心心]
0,这配音是真不错
0,好喜欢up的视频[大哭][大哭][大哭]每个系列都好好看[大哭][大哭][大哭][大哭][大哭]
0,牛啊
0,乐死了[呲牙][呲牙][呲牙][呲牙]
0,笑死
0,太精彩了
0,好想买，过年和家人一起品尝
0,生日快乐姐姐[兔年]
0,比亚迪天下第一！
0,这期好舒服，希望多拍，很解压
2,行业百草枯不是开玩笑的[无语][无语]
4,很多人黑这个小马云，但如果他真的智力有问题的话，我只是可怜他，被他人所摆布
1,这不是神经病吗？想让对方内疚到死吗？这不是爱，这是变态！呸！
0,太精彩了
0,笑死
0,好好好好好
5,卧槽，干尸
0,666
1,死吧！下头城！
4,时代的乐子，长久的悲哀
4,好想哭啊。。当时知道这个消息的时候还在上中学，生物课本上还在介绍他的事迹。。
0,给～～～～我！
5,大晚上739？？？？？害怕，大伙怎么都这么能熬
